code,search_term_en,search_term_fr
3.2,chemicals,produits chimiques
3.2,biodiversity,biodiversité
3.3,microenterprises,microentreprises
3.3,investment,investissement
3.3,innovation,innovation
3.3,social,sociale
3.3,local,local
3.3,women,femmes
3.3,small producers,petits producteurs
3.4,markets,marchés
3.4,label,label
3.4,short circuits,circuits-courts
3.4,local,local
3.4,urban awareness,urbain sensibilisation
3.4,links,liens
3.4,connection,mise en relation
3.4,partnerships,partenariats
3.5,to raise awareness,sensibiliser
3.5,popularize,vulgariser
3.5,Koronivia,Koronivia
3.5,sustainable development goals,objectifs de développement durable
3.5,agroecology,agroécologie
3.5,organic farming,agriculture biologique
3.5,natural farming,agriculture naturelle
3.6,autonomy,autonomie
3.6,independence,indépendance
3.6,recycling,recyclage
3.6,biodiversity,biodiversité
3.6,legumes,légumineuses
3.6,inputs,intrants
3.6,pesticides,pesticides
3.6,chemicals,produits chimiques
3.6,organic,organique
4.1,science,science
4.2,learning,apprentissage
4.2,school field,champ école
4.2,farm,ferme
4.2,awareness,connaissance
4.2,community of practice,communauté de pratiques
4.2,research,recherche
4.3,participation,participation
4.3,vulnerable groups,groupes vulnérables
4.3,action research,recherche-action
4.3,experimentation,expérimentation
4.5,knowledge sharing,partage de connaissances
4.5,horizontal,horizontal
4.5,experience,expérience
4.5,experimentation,expérimentation
4.5,producers,producteurs
4.5,indigenous,autochtones
4.5,local communities,communautés locales
5.1,property rights,droits de propriété
5.1,indigenous,autochtone
5.1,producer,producteur
5.1,land,foncier
5.2,marginalized group,groupe marginalisé
5.2,vulnerable group,groupe vulnérable
5.3,family farming,agriculture familiale
5.3,collective action,action collective
5.3,control,contrôle
5.4,markets,marchés
5.4,local,local
5.4,links,liens
5.4,communities,communautés
5.4,food production,production alimentaire
5.4,consumer,consommateur
5.4,short circuits,circuits courts
